,route_name,stop_idx,eta,stop_number,target_uid,delivery,pickup,service_time,open_1,close_1
38,abstract-perrot,22,2030-01-02 08:40:00,39,312576639,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
39,abstract-perrot,21,2030-01-02 08:42:00,40,312576602,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
40,abstract-perrot,20,2030-01-02 08:47:00,41,312574927,5,3,5,2030-01-02 07:00:00,2030-01-02 20:00:00
41,abstract-perrot,19,2030-01-02 08:49:00,42,312574900,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
42,abstract-perrot,18,2030-01-02 08:53:00,43,312569935,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
43,abstract-perrot,17,2030-01-02 08:55:00,44,312569767,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
44,abstract-perrot,16,2030-01-02 08:57:00,45,312566081,5,3,14,2030-01-02 07:00:00,2030-01-02 20:00:00
45,abstract-perrot,15,2030-01-02 08:59:00,46,312565824,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
46,abstract-perrot,47,2030-01-02 09:04:00,47,516031805,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
47,abstract-perrot,73,2030-01-02 09:09:00,48,759295279,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
48,abstract-perrot,70,2030-01-02 09:11:00,49,725068375,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
49,abstract-perrot,87,2030-01-02 09:15:00,50,890854720,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
50,abstract-perrot,66,2030-01-02 09:17:00,51,636958169,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
51,abstract-perrot,12,2030-01-02 09:20:00,52,306276661,5,3,13,2030-01-02 07:00:00,2030-01-02 20:00:00
52,abstract-perrot,68,2030-01-02 09:23:00,53,677596888,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
53,abstract-perrot,61,2030-01-02 09:26:00,54,613230592,5,3,13,2030-01-02 07:00:00,2030-01-02 20:00:00
54,abstract-perrot,14,2030-01-02 09:30:00,55,311099928,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
55,abstract-perrot,65,2030-01-02 09:34:00,56,635273448,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
56,abstract-perrot,64,2030-01-02 09:37:00,57,632666705,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
57,abstract-perrot,35,2030-01-02 09:40:00,58,446785628,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
58,abstract-perrot,36,2030-01-02 09:42:00,59,446785642,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
59,abstract-perrot,79,2030-01-02 09:46:00,60,768231918,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
60,abstract-perrot,8,2030-01-02 09:48:00,61,298721803,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
61,critical-blanchet,28,2030-01-02 07:05:00,1,358543320,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
62,critical-blanchet,86,2030-01-02 07:07:00,2,882292497,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
63,critical-blanchet,60,2030-01-02 07:10:00,3,612623532,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
